Map Name,Layer Name,Layer Type,Data Source,Symbology Type,Colors Used (first 10),Uses Multiple Colors,Color Notes,Line Widths,Transparency,Estimated Contrast Issues,Labels Enabled,Font Name,Font Size,Font Bold,Font Color,Halo Enabled,Halo Color,Halo Size,Label Issues,Popup Enabled,Popup Fields Count,Popup Fields (sample),Min Scale,Max Scale,Extraction Notes
Layers,Trailhead Fee (for non-Boulder County Residents),Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=GISPROD3.OSMP.TrailHeadsOSMP",UniqueValueRenderer,#ffffff,Yes,,,,Light symbology color detected - check contrast vs map background,Yes,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Trail Intersection Pts,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Feature Dataset=GISPROD3.OSMP.OSMPTRAILS,Dataset=GISPROD3.OSMP.TrailJunctions",SimpleRenderer,#686868,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Trail Mileage Labels,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Feature Dataset=GISPROD3.OSMP.OSMPTRAILS,Dataset=GISPROD3.OSMP.TrailsOSMP",SimpleRenderer,#f0f0f0,No,,,,,Yes,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Seasonal Dog Regs,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=GISPROD3.OSMP.DogRegulationsSeasonal",SimpleRenderer,#0084a8,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Dog Regs on Roads,Feature,"Server=osmpgis,Instance=sdeRegulatory,Database Platform=SQL Server,User=OSMPGIS_DataReader,Version=dbo.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=sdeRegulatory.DBO.RoadDogRegs",UniqueValueRenderer,"#ffff00, #ff0000",Yes,,,,Light symbology color detected - check contrast vs map background,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Closed Trails ,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=GISPROD3.osmp.vwTrailClosures",UniqueValueRenderer,"#e600a9, #d7d79e",Yes,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Dog Trail Regulation,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Feature Dataset=GISPROD3.OSMP.OSMPTRAILS,Dataset=GISPROD3.OSMP.TrailsOSMP",UniqueValueRenderer,"#38a800, #e6e600, #e69800, #e60000",Yes,,,,,Yes,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Other Boulder Area Trails,Feature,"Server=regis1.bouldercounty.org,Instance=boco,Database Platform=SQL Server,User=xbo,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=boco.PARKSOPENSPACE.REC_BoulderAreaTrails",UniqueValueRenderer,#4e4e4e,Yes,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Dog Regulation Areas,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=GISPROD3.OSMP.DogRegulationAreas",UniqueValueRenderer,"#e60000, #ffff00",Yes,,,,Light symbology color detected - check contrast vs map background,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Layers,Trailhead Leash Areas,Feature,"Server=GISData,Instance=GISPROD3,Database Platform=SQL Server,User=webuser,Version=sde.DEFAULT (Traditional),Authentication Type=Database Authentication,Dataset=GISPROD3.OSMP.TrailheadLeashAreas",SimpleRenderer,#ffff00,No,,,,Light symbology color detected - check contrast vs map background,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
