Map Name,Layer Name,Layer Type,Data Source,Symbology Type,Colors Used (first 10),Uses Multiple Colors,Color Notes,Line Widths,Transparency,Estimated Contrast Issues,Labels Enabled,Font Name,Font Size,Font Bold,Font Color,Halo Enabled,Halo Color,Halo Size,Label Issues,Popup Enabled,Popup Fields Count,Popup Fields (sample),Min Scale,Max Scale,Extraction Notes
OSMP Trail Map (WAB),Closed Trailheads (Entrada al sendero cerrada),Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/TrailheadClosures/MapServer/0,SimpleRenderer,#a80000,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),Trailheads (Entradas a los senderos),Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/TrailsNEW/MapServer/0,UniqueValueRenderer,#ffffff,Yes,,,,Light symbology color detected - check contrast vs map background,Yes,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),OSMP Public Notifications,Feature,https://services.arcgis.com/ePKBjXrBZ2vEEgWd/arcgis/rest/services/OSMP_Public_Notifications_-_Public_View/FeatureServer/0,UniqueValueRenderer,#ffffff,Yes,,,,Light symbology color detected - check contrast vs map background,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),E-bikes allowed on OSMP Trails (Class 1 & 2),Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/TrailsNEW/MapServer/4,SimpleRenderer,#2316ab,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),Historic Average Visits per Day (Visitas promedio históricas por día),Feature,https://services.arcgis.com/ePKBjXrBZ2vEEgWd/arcgis/rest/services/OSMP_2017_VisitationClasses_Within100ftFromTrail/FeatureServer/0,UniqueValueRenderer,"#730000, #fc921f, #267300, #004c73",Yes,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),Other Boulder County Trail Closures,Feature,https://maps.bouldercounty.org/arcgis/rest/services/Recreation/REC_BCPOSTrailClosures/MapServer/0,SimpleRenderer,#e60000,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),OSMP Seasonal Dog Regulations,Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/DogRegs/MapServer/3,SimpleRenderer,#0084a8,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),OSMP Dog Regulations on Trails,Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/DogRegs/MapServer/5,UniqueValueRenderer,"#38a800, #e6e600, #00c5ff, #e600a9",Yes,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),Trail Difficulty (Dificultad del sendero),Feature,https://gis.bouldercolorado.gov/ags_svr2/rest/services/osmp/TrailsNEW/MapServer/4,UniqueValueRenderer,"#38a800, #149ece, #474747",Yes,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),Wide Trail Opportunities in City of Boulder (Senderos anchos),Feature,https://services.arcgis.com/ePKBjXrBZ2vEEgWd/ArcGIS/rest/services/OSMP_Average_Trail_Widths/FeatureServer/0,SimpleRenderer,#38a800,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
OSMP Trail Map (WAB),UNKNOWN,,ERROR,,,,,,,,,,,,,,,,,,,,,,2025-11-17,Error during extraction: The attribute 'name' is not supported on this instance of Layer.
OSMP Trail Map (WAB),UNKNOWN,,ERROR,,,,,,,,,,,,,,,,,,,,,,2025-11-17,Error during extraction: The attribute 'name' is not supported on this instance of Layer.
