Folder Path,Layer File,Layer Name,Layer Type,Data Source,Symbology Type,Colors Used (first 10),Uses Multiple Colors,Color Notes,Line Widths,Transparency,Estimated Contrast Issues,Labels Enabled,Font Name,Font Size,Font Bold,Font Color,Halo Enabled,Halo Color,Halo Size,Label Issues,Popup Enabled,Popup Fields Count,Popup Fields (sample),Min Scale,Max Scale,Extraction Notes
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ag Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Forestry Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Hydro  Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2020,SimpleRenderer,#4c81cd,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",P & D Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",P& D Lines,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Lines2020,SimpleRenderer,#a553b7,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ranger Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Ranger Polygons,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Polygons2020,SimpleRenderer,#4c81cd,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
Root,"OSMP Generic Features gathered in Collector, 2020.lyr",Trails Points,Feature,\\osmpmap.boulder.local\data\GPS\mobileApps\Data\GenericFSArchive.gdb\Points2020,SimpleRenderer,#ff5500,No,,,,,No,,,No,,No,,,,Unknown,0,,,,Popup information not fully accessible programmatically - please verify in Map Properties
